id;nombre;nivel;regimen;carga_horaria;carrera;es_electiva
34;Organización Industrial;4;Cuatrimestral;6;Ingeniería Química;no
35;Procesos Biotecnológicos;4;Cuatrimestral;6;Ingeniería Química;no
36;Proyecto Final (Int. V);5;Cuatrimestral;6;Ingeniería Química;no
37;Control Automático de Procesos;5;Cuatrimestral;8;Ingeniería Química;no
38;Mecánica Industrial;5;Cuatrimestral;4;Ingeniería Química;no
39;Ingeniería Ambiental;5;Cuatrimestral;6;Ingeniería Química;no
40;Calidad y Control Estadístico de Procesos;5;Cuatrimestral;4;Ingeniería Química;no
41;Máquinas e Instalaciones Eléctricas;5;Cuatrimestral;4;Ingeniería Química;no
42;Tecnología de los Alimentos;4;Cuatrimestral;2;Ingeniería Química;si
43;Ingeniería de las Instalaciones;4;Cuatrimestral;4;Ingeniería Química;si
44;Física de los Materiales;4;Cuatrimestral;4;Ingeniería Química;si
45;Formaciones de Tutores Emprendedores;4;Cuatrimestral;4;Ingeniería Química;si
46;Catalizadores y Procesos Catalíticos;4;Cuatrimestral;6;Ingeniería Química;si
47;Introducción a la Investigación Científica;4;Cuatrimestral;4;Ingeniería Química;si
48;Gestión de Potencial Humano;4;Cuatrimestral;4;Ingeniería Química;si
49;Herramientas de Dirección y Gestión Empresarial;4;Cuatrimestral;4;Ingeniería Química;si
50;Prácticas Profesionales Supervisadas;5;Cuatrimestral;50;Ingeniería Química;si
51;Planificación, Desarrollo y Seguimiento de Proyectos Industriales;4;Cuatrimestral;4;Ingeniería Química;si
1;Informática I;1;Anual;5;Ingeniería Electrónica;no
2;Álgebra y Geometría Analítica;1;Cuatrimestral;10;Ciencias Básicas;no
3;Análisis Matemático I;1;Cuatrimestral;10;Ciencias Básicas;no
4;Ingeniería y Sociedad;1;Anual;2;Ciencias Básicas;no
5;Análisis Matemático II;1;Cuatrimestral;10;Ciencias Básicas;no
6;Física I;1;Cuatrimestral;10;Ciencias Básicas;no
7;Diseño Asistido por Computadora;1;Anual;3;Ingeniería Electrónica;no
8;Informática II;2;Anual;5;Ingeniería Electrónica;no
9;Análisis de Señales y Sistemas;2;Anual;3;Ingeniería Electrónica;no
10;Química General;2;Anual;5;Ciencias Básicas;no
11;Física II;2;Cuatrimestral;10;Ciencias Básicas;no
12;Probabilidad y Estadística;2;Anual;3;Ciencias Básicas;no
13;Física Electrónica;2;Cuatrimestral;10;Ingeniería Electrónica;no
14;Inglés I;2;Anual;2;Ciencias Básicas;no
15;Teoría de los Circuitos I;3;Anual;6;Ingeniería Electrónica;no
16;Técnicas Digitales I;3;Anual;4;Ingeniería Electrónica;no
17;Dispositivos Electrónicos;3;Anual;5;Ingeniería Electrónica;no
18;Legislación;3;Anual;4;Ciencias Básicas;no
19;Electrónica Aplicada I;3;Anual;5;Ingeniería Electrónica;no
20;Medios de Enlace;3;Anual;4;Ingeniería Electrónica;no
21;Inglés II;3;Anual;2;Ciencias Básicas;no
22;Técnicas Digitales II;4;Anual;5;Ingeniería Electrónica;no
23;Medidas Electrónicas I;4;Anual;5;Ingeniería Electrónica;no
24;Teoría de los Circuitos II;4;Anual;5;Ingeniería Electrónica;no
25;Máquinas e Instalaciones Eléctricas;4;Anual;4;Ingeniería Electrónica;no
26;Sistemas de Comunicaciones;4;Anual;4;Ingeniería Electrónica;no
27;Electrónica Aplicada II;4;Anual;5;Ingeniería Electrónica;no
28;Seguridad, Higiene y Medio Ambiente;4;Anual;2;Ingeniería Electrónica;no
29;Técnicas Digitales III;5;Anual;5;Ingeniería Electrónica;no
30;Medidas Electrónicas II;5;Anual;5;Ingeniería Electrónica;no
31;Sistemas de Control;5;Anual;4;Ingeniería Electrónica;no
32;Electrónica Aplicada III;5;Anual;5;Ingeniería Electrónica;no
33;Tecnología Electrónica;5;Anual;5;Ingeniería Electrónica;no
34;Electrónica de Potencia;5;Anual;4;Ingeniería Electrónica;no
35;Organización Industrial;5;Anual;2;Ingeniería Electrónica;no
36;Economía;6;Cuatrimestral;4;Ciencias Básicas;no
37;Proyecto Final;6;Cuatrimestral;8;Ingeniería Electrónica;no
38;Práctica Profesional Supervisada;6;Cuatrimestral;200;Ingeniería Electrónica;no
39;Fundamentos de Robótica Móvil;5;Cuatrimestral;6;Ingeniería Electrónica;si
40;Control de Procesos;5;Cuatrimestral;6;Ingeniería Electrónica;si
41;Tecnologías para la Transmisión Digital de Video;5;Cuatrimestral;6;Ingeniería Electrónica;si
42;Software en Tiempo Real;5;Cuatrimestral;6;Ingeniería Electrónica;si
43;Técnicas Digitales IV;5;Cuatrimestral;6;Ingeniería Electrónica;si
44;Introducción a las Fibras Ópticas. Arquitectura de Redes;5;Cuatrimestral;6;Ingeniería Electrónica;si
45;Sistemas de Telecomunicaciones;5;Cuatrimestral;6;Ingeniería Electrónica;si
46;Equipos de Microondas;5;Cuatrimestral;6;Ingeniería Electrónica;si
47;Sistemas de Comunicaciones II;5;Cuatrimestral;6;Ingeniería Electrónica;si
48;Sistemas de Comunicaciones III;5;Cuatrimestral;6;Ingeniería Electrónica;si
49;Bioelectrónica;5;Cuatrimestral;6;Ingeniería Electrónica;si
50;Fundamentos de Acústica y Electroacústica;5;Cuatrimestral;6;Ingeniería Electrónica;si
51;Visión por Computadora;5;Cuatrimestral;6;Ingeniería Electrónica;si
1;Análisis Matemático I;1;Anual;5;Ciencias Básicas;no
2;Álgebra y Geometría Analítica;1;Anual;5;Ciencias Básicas;no
3;Física I;1;Anual;5;Ciencias Básicas;no
4;Química General;1;Anual;5;Ciencias Básicas;no
5;Ingeniería de los Procesos I;1;Anual;3;Ingeniería Metalúrgica;no
6;Ingeniería y Sociedad;1;Anual;2;Ciencias Básicas;no
7;Sistemas de Representación;1;Anual;3;Ciencias Básicas;no
8;Fundamentos de Informática;1;Anual;2;Ingeniería Metalúrgica;no
9;Inglés I;1;Anual;2;Ciencias Básicas;no
10;Física II;2;Anual;5;Ciencias Básicas;no
11;Ingeniería de los Procesos II;2;Anual;3;Ingeniería Metalúrgica;no
12;Análisis Matemático II;2;Anual;5;Ciencias Básicas;no
13;Termodinámica Metalúrgica;2;Anual;4;Ingeniería Metalúrgica;no
14;Química Inorgánica y Orgánica;2;Anual;4;Ciencias Básicas;no
15;Técnicas de Análisis;2;Cuatrimestral;3;Ingeniería Metalúrgica;no
16;Mineralogía y Tratamiento de los Minerales;2;Cuatrimestral;3;Ingeniería Metalúrgica;no
17;Probabilidad y Estadística;2;Anual;3;Ciencias Básicas;no
18;Inglés II;2;Anual;2;Ciencias Básicas;no
19;Higiene y Seguridad e Ingeniería Ambiental;3;Cuatrimestral;3;Ingeniería Metalúrgica;no
20;Metalúrgica Física I;3;Anual;3;Ingeniería Metalúrgica;no
21;Mecánica de los Fluidos;3;Cuatrimestral;3;Ingeniería Metalúrgica;no
22;Estabilidad y Resistencia de los Materiales;3;Cuatrimestral;3;Ingeniería Metalúrgica;no
23;Fisicoquímica Metalúrgica;3;Anual;4;Ingeniería Metalúrgica;no
24;Instalaciones Térmicas Metalúrgicas;3;Cuatrimestral;3;Ingeniería Metalúrgica;no
25;Ciencia de los Materiales;3;Cuatrimestral;4;Ingeniería Metalúrgica;no
26;Ensayo de Materiales;3;Cuatrimestral;3;Ingeniería Metalúrgica;no
27;Electrotecnia y Sistemas de Control en Plantas Industriales;3;Cuatrimestral;3;Ingeniería Metalúrgica;no
28;Técnicas de Estudio Aplicada a Materiales;3;Anual;3;Ingeniería Metalúrgica;no
29;Taller de Integración;3;Cuatrimestral;2;Ingeniería Metalúrgica;no
30;Metalurgia Física II;4;Anual;4;Ingeniería Metalúrgica;no
31;Metalurgia Extractiva de los No Ferrosos;4;Cuatrimestral;3;Ingeniería Metalúrgica;no
32;Refractarios y Cerámicos;4;Cuatrimestral;3;Ingeniería Metalúrgica;no
33;Degradación, Corrosión y Protección de Materiales;4;Cuatrimestral;3;Ingeniería Metalúrgica;no
34;Pulvimetallurgia y Recubrimiento de Materiales;4;Cuatrimestral;3;Ingeniería Metalúrgica;no
35;Metalografía y Tratamiento Térmico de los Ferrosos;4;Anual;4;Ingeniería Metalúrgica;no
36;Gestión y Organización Empresarial;4;Cuatrimestral;3;Ingeniería Metalúrgica;no
37;Cálculo y Modelización Numérica;4;Cuatrimestral;3;Ingeniería Metalúrgica;no
38;Economía;4;Anual;6;Ciencias Básicas;no
39;Legislación;4;Anual;2;Ciencias Básicas;no
40;Soldadura;5;Cuatrimestral;3;Ingeniería Metalúrgica;no
41;Fundición de los Metales Ferrosos y No Ferrosos;5;Cuatrimestral;3;Ingeniería Metalúrgica;no
42;Metalografía y Tratamiento Térmico de los No Ferrosos;5;Cuatrimestral;3;Ingeniería Metalúrgica;no
43;Procesos de Conformación Plástica;5;Anual;3;Ingeniería Metalúrgica;no
44;Procesos de Reducción y Aceleración;5;Anual;3;Ingeniería Metalúrgica;no
45;Modelización de los Procesos Metalúrgicos;5;Cuatrimestral;3;Ingeniería Metalúrgica;no
46;Metalurgia de la Laminación y Productos Especiales;5;Cuatrimestral;3;Ingeniería Metalúrgica;no
47;Reciclado y Economía Circular;5;Cuatrimestral;3;Ingeniería Metalúrgica;no
48;Proyecto Final;5;Anual;4;Ingeniería Metalúrgica;no
49;Avances en Metalurgia y Nuevos Materiales;4;Anual;4;Ingeniería Metalúrgica;si
50;Ingeniería Gerencial;4;Cuatrimestral;4;Ingeniería Metalúrgica;si
1;Análisis Matemático I;1;Anual;5;Ciencias Básicas;no
2;Álgebra y Geometría Analítica;1;Anual;5;Ciencias Básicas;no
3;Ingeniería y Sociedad;1;Anual;2;Ciencias Básicas;no
4;Ingeniería Civil I;1;Cuatrimestral;3;Ingeniería Civil;no
5;Sistemas de Representación;1;Cuatrimestral;3;Ciencias Básicas;no
6;Química General;1;Anual;5;Ciencias Básicas;no
7;Física I;1;Anual;5;Ciencias Básicas;no
8;Fundamentos de Informática;1;Cuatrimestral;2;Ingeniería Civil;no
9;Análisis Matemático II;2;Anual;5;Ciencias Básicas;no
10;Estabilidad;2;Anual;5;Ingeniería Civil;no
11;Ingeniería Civil II (E.I);2;Anual;3;Ingeniería Civil;no
12;Tecnología de los Materiales;2;Anual;4;Ingeniería Civil;no
13;Física II;2;Anual;5;Ciencias Básicas;no
14;Probabilidad y Estadística;2;Anual;3;Ciencias Básicas;no
15;Inglés I;2;Anual;2;Ciencias Básicas;no
16;Resistencia de Materiales;3;Cuatrimestral;4;Ingeniería Civil;no
17;Tecnología del Hormigón;3;Cuatrimestral;2;Ingeniería Civil;no
18;Tecnología de la Construcción;3;Anual;6;Ingeniería Civil;no
19;Geotopografía;3;Anual;4;Ingeniería Civil;no
20;Hidráulica General y Aplicada;3;Anual;5;Ingeniería Civil;no
21;Cálculo Avanzado;3;Cuatrimestral;2;Ingeniería Civil;no
22;Instalaciones Eléctricas y Acústicas;3;Cuatrimestral;2;Ingeniería Civil;no
23;Instalaciones Termomecánicas;3;Cuatrimestral;2;Ingeniería Civil;no
24;Economía;3;Anual;3;Ciencias Básicas;no
25;Inglés II;3;Anual;2;Ciencias Básicas;no
26;Geotecnia;4;Cuatrimestral;5;Ingeniería Civil;no
27;Instalaciones Sanitarias y de Gas;4;Anual;3;Ingeniería Civil;no
28;Diseño Arquitectónico, Planeamiento y Urbanismo (E.I);4;Anual;5;Ingeniería Civil;no
29;Análisis Estructural I;4;Cuatrimestral;5;Ingeniería Civil;no
30;Estructuras de Hormigón;4;Cuatrimestral;5;Ingeniería Civil;no
31;Hidrología y Obras Hidráulicas;4;Anual;4;Ingeniería Civil;no
32;Ingeniería Legal;4;Cuatrimestral;3;Ingeniería Civil;no
33;Construcciones Metálicas y de Madera;5;Cuatrimestral;4;Ingeniería Civil;no
34;Cimentaciones;5;Cuatrimestral;3;Ingeniería Civil;no
35;Ingeniería Sanitaria;5;Anual;3;Ingeniería Civil;no
36;Organización y Conducción de Obras;5;Anual;5;Ingeniería Civil;no
37;Vías de Comunicación I;5;Cuatrimestral;4;Ingeniería Civil;no
38;Análisis Estructural II;5;Cuatrimestral;5;Ingeniería Civil;no
39;Vías de Comunicación II;5;Cuatrimestral;4;Ingeniería Civil;no
40;Gestión Ambiental y Desarrollo Sustentable;5;Cuatrimestral;6;Ingeniería Civil;no
41;Proyecto Final (E.I);5;Cuatrimestral;4;Ingeniería Civil;no
42;Prácticas Supervisadas;5;Cuatrimestral;150;Ingeniería Civil;no
43;Análisis Estructural III;5;Cuatrimestral;6;Ingeniería Civil;si
44;Dinámica Estructural;5;Cuatrimestral;6;Ingeniería Civil;si
45;Diseño Arquitectónico y Planeamiento;5;Cuatrimestral;6;Ingeniería Civil;si
